"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","95","87","8","21","""-2086474270""","39.080633259542495","39.080633259542495","39.080633259542495","0","39.080633259542495"
"1","2","500","95","87","8","21","""-901402167""","39.352669188734765","39.352669188734765","39.352669188734765","0","39.352669188734765"
"1","3","500","95","87","8","21","""-1346959265""","38.89784134018196","38.89784134018196","38.89784134018196","0","38.89784134018196"
"1","4","500","95","87","8","21","""201992167""","39.16628953587771","39.16628953587771","39.16628953587771","0","39.16628953587771"
"1","5","500","95","87","8","21","""1324891474""","39.2001341494089","39.2001341494089","39.2001341494089","0","39.2001341494089"
"1","6","500","95","87","8","21","""1058593397""","38.94577807621286","38.94577807621286","38.94577807621286","0","38.94577807621286"
"1","7","500","95","87","8","21","""-1146046660""","39.03335739587355","39.03335739587355","39.03335739587355","0","39.03335739587355"
"1","8","500","95","87","8","21","""-1856921385""","39.06449231595195","39.06449231595195","39.06449231595195","0","39.06449231595195"
"1","9","500","95","87","8","21","""-1606192137""","39.184227732233566","39.184227732233566","39.184227732233566","0","39.184227732233566"
"1","10","500","95","87","8","21","""-108002522""","39.23555764358462","39.23555764358462","39.23555764358462","0","39.23555764358462"
"1","11","500","79","99","11","18","""-733928544""","34.498660813178404","34.498660813178404","34.498660813178404","0","34.498660813178404"
"1","12","500","79","99","11","18","""-1242192147""","34.31689571544058","34.31689571544058","34.31689571544058","0","34.31689571544058"
"1","13","500","79","99","11","18","""884906917""","34.3992911514761","34.3992911514761","34.3992911514761","0","34.3992911514761"
"1","14","500","79","99","11","18","""-1064025353""","34.48881885946306","34.48881885946306","34.48881885946306","0","34.48881885946306"
"1","15","500","79","99","11","18","""1558855588""","34.58064516129033","34.58064516129033","34.58064516129033","0","34.58064516129033"
"1","16","500","79","99","11","18","""1063657541""","34.54069825938223","34.54069825938223","34.54069825938223","0","34.54069825938223"
"1","17","500","79","99","11","18","""-859970961""","34.35545692959451","34.35545692959451","34.35545692959451","0","34.35545692959451"
"1","18","500","79","99","11","18","""-1576276026""","34.44218740572394","34.44218740572394","34.44218740572394","0","34.44218740572394"
"1","19","500","79","99","11","18","""1711017090""","34.27288650868751","34.27288650868751","34.27288650868751","0","34.27288650868751"
"1","20","500","79","99","11","18","""-979510549""","34.62592712028378","34.62592712028378","34.62592712028378","0","34.62592712028378"
"1","21","500","49","69","15","11","""-1428286140""","1.6307702303219311","1.6307702303219311","1.6307702303219311","0","1.6307702303219311"
"1","22","500","49","69","15","11","""1022818622""","1.5439622948155372","1.5439622948155372","1.5439622948155372","0","1.5439622948155372"
"1","23","500","49","69","15","11","""-1505876701""","1.6903972433521879","1.6903972433521879","1.6903972433521879","0","1.6903972433521879"
"1","24","500","49","69","15","11","""-1303247777""","1.907489990560203","1.907489990560203","1.907489990560203","0","1.907489990560203"
"1","25","500","49","69","15","11","""572951721""","1.6147336337991633","1.6147336337991633","1.6147336337991633","0","1.6147336337991633"
"1","26","500","49","69","15","11","""-1450920778""","1.913099870298314","1.913099870298314","1.913099870298314","0","1.913099870298314"
"1","27","500","49","69","15","11","""-832442548""","1.9807140995569454","1.9807140995569454","1.9807140995569454","0","1.9807140995569454"
"1","28","500","49","69","15","11","""725370764""","1.8704942521270376","1.8704942521270376","1.8704942521270376","0","1.8704942521270376"
"1","29","500","49","69","15","11","""-2097957419""","1.932775843555787","1.932775843555787","1.932775843555787","0","1.932775843555787"
"1","30","500","49","69","15","11","""-254454807""","1.680342606819445","1.680342606819445","1.680342606819445","0","1.680342606819445"
"1","31","500","74","57","8","19","""390584483""","3.1433803727243346","3.1433803727243346","3.1433803727243346","0","3.1433803727243346"
"1","32","500","74","57","8","19","""-440634558""","4.133247089262613","4.133247089262613","4.133247089262613","0","4.133247089262613"
"1","33","500","74","57","8","19","""1009540841""","3.7901378624832534","3.7901378624832534","3.7901378624832534","0","3.7901378624832534"
"1","34","500","74","57","8","19","""62556293""","4.587512971290211","4.587512971290211","4.587512971290211","0","4.587512971290211"
"1","35","500","74","57","8","19","""-1983247952""","3.776722090261283","3.776722090261283","3.776722090261283","0","3.776722090261283"
"1","36","500","74","57","8","19","""-2014988809""","3.360405655107215","3.360405655107215","3.360405655107215","0","3.360405655107215"
"1","37","500","74","57","8","19","""1110898071""","3.237046437098058","3.237046437098058","3.237046437098058","0","3.237046437098058"
"1","38","500","74","57","8","19","""-1559320331""","3.4662980800380105","3.4662980800380105","3.4662980800380105","0","3.4662980800380105"
"1","39","500","74","57","8","19","""1300108903""","3.6102868447082095","3.6102868447082095","3.6102868447082095","0","3.6102868447082095"
"1","40","500","74","57","8","19","""884033872""","3.5494689770821686","3.5494689770821686","3.5494689770821686","0","3.5494689770821686"
"1","41","500","80","67","15","20","""-604614053""","26.284741468049727","26.284741468049727","26.284741468049727","0","26.284741468049727"
"1","42","500","80","67","15","20","""1138304575""","27.032564801368636","27.032564801368636","27.032564801368636","0","27.032564801368636"
"1","43","500","80","67","15","20","""2119591442""","27.038805970149255","27.038805970149255","27.038805970149255","0","27.038805970149255"
"1","44","500","80","67","15","20","""-1525059097""","25.6863796081234","25.6863796081234","25.6863796081234","0","25.6863796081234"
"1","45","500","80","67","15","20","""319038513""","26.188197767145137","26.188197767145137","26.188197767145137","0","26.188197767145137"
"1","46","500","80","67","15","20","""-1227135878""","25.871599912191424","25.871599912191424","25.871599912191424","0","25.871599912191424"
"1","47","500","80","67","15","20","""-944178371""","25.7602969348659","25.7602969348659","25.7602969348659","0","25.7602969348659"
